
Industry Name	Number of firms	Current PE	Trailing PE	Forward PE	Aggregate Mkt Cap/ Net Income	Aggregate Mkt Cap/ Trailing Net Income	Expected growth - next 5 years	PEG Ratio
Oil/Gas (Production and Exploration)	330	39.94	15.84	143.58	NA	5.52	0.59%	9.34
Oil/Gas Distribution	78	221.33	36.10	36.54	70.61	26.68	10.80%	2.47
Oilfield Svcs/Equip.	148	102.69	170.78	952.88	25.40	20.06	0.78%	25.59
Packaging & Container	26	53.14	52.12	17.88	26.07	22.05	10.16%	2.17
Paper/Forest Products	23	53.30	39.78	14.49	NA	7.69	8.06%	0.95
Power	68	30.42	120.86	19.59	43.27	22.55	6.66%	3.39
Precious Metals	109	45.73	84.15	22.28	NA	112.54	6.00%	18.76
Publishing & Newspapers	37	30.47	87.04	19.36	NA	20.47	7.07%	2.90
R.E.I.T.	238	91.09	129.15	45.94	32.41	25.74	6.16%	4.18
Real Estate (Development)	18	45.30	20.87	19.53	NA	15.58	15.00%	1.04
Real Estate (General/Diversified)	11	62.09	75.10	27.78	36.99	42.89	17.50%	2.45
Real Estate (Operations & Services)	54	50.82	52.79	20.23	18.91	20.32	13.38%	1.52
Recreation	66	24.25	23.03	21.02	24.54	21.80	13.02%	1.67
Reinsurance	3	16.41	11.19	17.24	17.75	13.78	9.00%	1.53
Restaurant/Dining	86	2725.10	32.77	31.46	24.83	23.89	16.07%	1.49
Retail (Automotive)	25	17.22	20.73	16.70	19.04	18.07	11.80%	1.53
Retail (Building Supply)	6	37.28	30.82	24.02	23.84	22.29	20.23%	1.10
Retail (Distributors)	88	43.35	45.64	31.11	19.96	18.70	14.48%	1.29
Retail (General)	19	26.26	37.07	54.54	17.32	16.38	9.72%	1.68
Retail (Grocery and Food)	14	22.93	20.79	18.94	16.92	17.17	10.52%	1.63
Retail (Online)	57	91.27	58.54	49.56	98.27	82.93	1.91%	43.53
Retail (Special Lines)	108	170.58	23.62	20.52	20.15	18.40	9.70%	1.90
Rubber& Tires	4	18.01	16.83	8.68	19.69	18.06	10.10%	1.79
Semiconductor	80	170.69	144.50	67.76	22.75	21.14	13.80%	1.53
Semiconductor Equip	45	101.15	39.68	21.88	22.25	20.42	16.94%	1.21
Shipbuilding & Marine	11	10.52	103.13	19.98	21.02	21.85	11.50%	1.90
Shoe	10	16.68	17.73	21.17	22.14	21.09	12.17%	1.73
Software (Entertainment)	13	25.32	785.32	25.81	30.08	25.76	14.71%	1.75
Software (Internet)	297	221.88	59.26	62.33	64.83	31.94	19.85%	1.61
Software (System & Application)	236	505.25	133.82	100.20	31.79	27.58	15.61%	1.77
Steel	38	66.29	44.56	21.19	NA	32.27	6.92%	4.67
Telecom (Wireless)	17	22.06	59.06	59.09	73.27	35.89	4.21%	8.52
Telecom. Equipment	107	50.23	50.77	26.40	19.66	17.99	10.02%	1.80
Telecom. Services	67	320.91	62.20	169.72	15.05	15.86	12.15%	1.31
Tobacco	22	20.05	19.24	20.57	23.07	20.51	10.34%	1.98
Transportation	17	37.84	30.41	19.11	22.77	21.83	15.30%	1.43
Transportation (Railroads)	7	18.66	19.60	18.59	18.22	19.90	8.98%	2.22
Trucking	30	43.04	84.64	21.82	16.80	20.98	10.18%	2.06
Utility (General)	18	21.12	29.51	19.34	26.45	20.77	6.36%	3.27
Utility (Water)	22	27.47	27.66	31.73	30.38	27.17	8.65%	3.14
Total Market	7330	114.15	77.30	46.11	27.09	19.86	12.15%	1.63
Total Market (without financials)	6100	131.58	87.96	50.96	32.20	21.15	12.61%	1.68
